                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0101,                0.77826,                 1.0651,                0.78436,                0.76117,                0.79825,                0.66578,                 1.1006,                0.95748,                 1.1148,                0.00208,                0.00208,                0.00208
                     82,                 1.0063,                0.77791,                  1.064,                0.81362,                0.74395,                0.80062,                0.66935,                 1.1011,                0.95666,                 1.1153,               0.001981,               0.001981,               0.001981
                     83,                0.99911,                0.77202,                 1.0633,                0.81357,                0.74445,                0.80129,                0.66857,                 1.1009,                0.95663,                 1.1152,               0.001882,               0.001882,               0.001882
                     84,                 1.0023,                0.76886,                 1.0606,                0.78914,                0.75903,                0.79777,                 0.6655,                 1.1011,                0.95882,                 1.1153,               0.001783,               0.001783,               0.001783
                     85,                0.99798,                0.76089,                 1.0597,                0.79034,                0.75793,                0.79674,                0.66465,                 1.1018,                0.95948,                 1.1156,               0.001684,               0.001684,               0.001684
                     86,                0.98689,                0.75828,                 1.0542,                0.78974,                0.75491,                 0.7958,                0.66279,                 1.1021,                 0.9605,                 1.1158,               0.001585,               0.001585,               0.001585
                     87,                0.98848,                0.74993,                 1.0538,                0.77715,                0.76487,                0.79634,                0.66253,                  1.104,                0.96014,                 1.1174,               0.001486,               0.001486,               0.001486
                     88,                 0.9909,                0.75078,                 1.0555,                0.77413,                0.76953,                0.79701,                0.66482,                 1.1046,                0.96088,                 1.1183,               0.001387,               0.001387,               0.001387
                     89,                0.98711,                0.75236,                 1.0551,                0.77254,                0.77026,                0.79657,                 0.6631,                 1.1046,                0.96203,                 1.1181,               0.001288,               0.001288,               0.001288
                     90,                0.97864,                0.74109,                 1.0527,                0.76915,                0.77224,                0.79541,                0.66279,                 1.1046,                0.96311,                  1.118,               0.001189,               0.001189,               0.001189
                     91,                0.95055,                0.64334,                 1.0273,                0.76845,                0.77329,                0.79592,                0.66452,                 1.1051,                0.96413,                 1.1185,                0.00109,                0.00109,                0.00109
                     92,                0.94258,                0.63561,                 1.0258,                0.76851,                0.77431,                0.79615,                0.66395,                 1.1055,                0.96462,                 1.1188,               0.000991,               0.000991,               0.000991
                     93,                0.93729,                0.62711,                 1.0213,                 0.7621,                0.77428,                0.79528,                0.66455,                 1.1059,                0.96508,                  1.119,               0.000892,               0.000892,               0.000892
                     94,                0.93004,                0.61566,                  1.016,                0.76204,                0.77488,                0.79516,                0.66471,                 1.1058,                0.96655,                  1.119,               0.000793,               0.000793,               0.000793
                     95,                0.92651,                0.61569,                  1.016,                 0.7614,                0.77607,                0.79596,                0.66629,                 1.1067,                0.96741,                 1.1195,               0.000694,               0.000694,               0.000694
                     96,                0.91754,                 0.6087,                  1.011,                0.76032,                0.77701,                0.79644,                0.66605,                 1.1071,                0.96709,                 1.1203,               0.000595,               0.000595,               0.000595
                     97,                0.91505,                0.60501,                 1.0105,                0.76029,                0.77728,                0.79663,                0.66626,                 1.1076,                0.96702,                 1.1207,               0.000496,               0.000496,               0.000496
                     98,                0.90915,                0.59917,                 1.0076,                0.76122,                0.77724,                0.79652,                0.66376,                 1.1076,                0.96683,                 1.1207,               0.000397,               0.000397,               0.000397
                     99,                0.90164,                0.59463,                 1.0036,                0.76304,                0.77768,                0.79688,                0.66378,                 1.1081,                0.96714,                 1.1211,               0.000298,               0.000298,               0.000298
                    100,                0.90375,                0.58999,                 1.0046,                0.76358,                0.77779,                0.79677,                0.66193,                 1.1081,                 0.9674,                 1.1212,               0.000199,               0.000199,               0.000199
