                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0576,                0.84271,                 1.0913,                 0.8072,                0.72858,                0.80657,                0.67346,                 1.1051,                0.96849,                  1.119,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0598,                0.84071,                 1.0896,                0.81197,                0.73391,                0.80271,                 0.6683,                 1.1041,                0.96607,                 1.1174,               0.006436,               0.006436,               0.006436
                     74,                 1.0541,                0.83349,                 1.0873,                0.81668,                0.72913,                0.80898,                 0.6768,                 1.1032,                0.96269,                 1.1159,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0563,                0.83512,                  1.086,                0.82716,                0.71859,                0.80528,                0.67469,                 1.1039,                0.96083,                 1.1161,               0.006337,               0.006337,               0.006337
                     76,                 1.0514,                0.82666,                 1.0828,                0.73328,                0.79088,                0.81005,                0.67716,                 1.1036,                0.96015,                 1.1171,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.045,                0.82718,                 1.0818,                0.73155,                0.80573,                 0.8144,                0.67866,                  1.104,                0.95929,                 1.1177,               0.006238,               0.006238,               0.006238
                     78,                 1.0505,                0.82672,                 1.0848,                0.73332,                0.79903,                0.81068,                0.67633,                 1.1051,                0.95726,                 1.1185,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0471,                0.82467,                  1.086,                 0.7784,                 0.7657,                0.80971,                0.67464,                 1.1053,                0.95868,                 1.1191,               0.006139,               0.006139,               0.006139
                     80,                 1.0492,                0.81943,                 1.0812,                0.78024,                0.76392,                0.80821,                0.67442,                 1.1035,                0.96035,                 1.1178,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0503,                0.82034,                 1.0822,                0.74392,                0.79401,                0.80708,                0.67305,                 1.1019,                0.96299,                 1.1172,                0.00604,                0.00604,                0.00604
                     82,                 1.0465,                0.82179,                 1.0833,                 0.7855,                0.76183,                0.81214,                0.67515,                 1.1018,                0.96143,                 1.1177,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0425,                 0.8184,                 1.0846,                0.78339,                0.75777,                0.81137,                 0.6742,                 1.1025,                0.96194,                 1.1186,               0.005941,               0.005941,               0.005941
                     84,                 1.0444,                0.81659,                 1.0787,                0.81108,                0.73794,                0.81251,                 0.6736,                 1.1023,                0.96183,                 1.1185,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0405,                 0.8099,                 1.0785,                0.81044,                0.73506,                0.81459,                0.67736,                 1.1019,                0.96164,                 1.1185,               0.005842,               0.005842,               0.005842
                     86,                 1.0334,                0.81164,                 1.0751,                0.81006,                0.73458,                0.81523,                0.67847,                 1.1009,                 0.9627,                 1.1176,              0.0057925,              0.0057925,              0.0057925
                     87,                   1.04,                0.80888,                 1.0765,                0.81468,                0.72936,                0.81254,                0.67744,                 1.0999,                0.96275,                 1.1166,               0.005743,               0.005743,               0.005743
                     88,                 1.0444,                0.80731,                 1.0799,                0.81341,                0.73139,                0.80921,                0.67364,                 1.0997,                0.96368,                 1.1165,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0399,                0.81055,                 1.0792,                0.80706,                0.73241,                0.80926,                0.67445,                 1.0993,                 0.9653,                 1.1158,               0.005644,               0.005644,               0.005644
                     90,                 1.0346,                0.80184,                 1.0777,                0.80519,                0.73418,                0.80878,                0.67405,                 1.0996,                0.96511,                 1.1155,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0271,                0.79696,                 1.0712,                0.77365,                0.76164,                0.80815,                0.67324,                 1.0993,                0.96439,                 1.1151,               0.005545,               0.005545,               0.005545
                     92,                 1.0374,                 0.8033,                 1.0732,                0.77391,                0.76511,                0.80879,                0.67357,                 1.1001,                0.96569,                 1.1156,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0341,                 0.7997,                 1.0751,                0.77475,                0.76481,                0.80888,                0.67512,                 1.1003,                0.96651,                 1.1157,               0.005446,               0.005446,               0.005446
                     94,                 1.0296,                0.79529,                 1.0729,                0.77639,                0.76351,                0.80936,                0.67495,                 1.0996,                0.96547,                 1.1151,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0243,                0.79396,                 1.0716,                0.79835,                0.74525,                0.81173,                0.67617,                 1.0995,                0.96623,                 1.1151,               0.005347,               0.005347,               0.005347
                     96,                 1.0254,                0.79079,                 1.0702,                0.80005,                0.74481,                 0.8118,                0.67716,                 1.0997,                0.96659,                 1.1155,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0197,                0.78839,                 1.0685,                0.79876,                  0.745,                0.81187,                0.67622,                 1.0999,                0.96745,                 1.1156,               0.005248,               0.005248,               0.005248
                     98,                 1.0245,                0.79157,                 1.0702,                0.77853,                0.76194,                0.81035,                0.67512,                 1.0992,                0.96721,                 1.1149,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0245,                0.79031,                 1.0704,                0.78115,                0.76054,                0.81089,                0.67668,                 1.0998,                0.96884,                 1.1155,               0.005149,               0.005149,               0.005149
                    100,                 1.0227,                0.78737,                 1.0718,                0.78075,                0.75843,                0.81093,                 0.6768,                 1.1001,                0.96906,                 1.1157,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0247,                0.78552,                 1.0678,                0.80372,                0.74312,                0.81527,                0.67916,                    1.1,                0.96824,                 1.1157,                0.00505,                0.00505,                0.00505
                    102,                 1.0175,                 0.7821,                  1.067,                0.80526,                0.74213,                0.81496,                0.68058,                 1.1004,                0.96925,                 1.1162,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0143,                0.78158,                 1.0668,                0.80744,                0.74152,                0.81214,                0.67696,                 1.1003,                0.97008,                 1.1161,               0.004951,               0.004951,               0.004951
                    104,                 1.0147,                0.78254,                 1.0676,                0.80765,                0.74306,                0.81281,                0.67891,                 1.1001,                0.97013,                 1.1159,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0131,                0.77697,                 1.0646,                0.80838,                0.74301,                0.81331,                0.67901,                 1.0999,                0.97065,                 1.1158,               0.004852,               0.004852,               0.004852
                    106,                  1.008,                0.77757,                 1.0635,                0.80453,                0.74306,                0.81161,                0.67648,                 1.0997,                0.97092,                  1.116,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0137,                 0.7815,                 1.0655,                0.80695,                0.74631,                0.81219,                0.67745,                 1.1001,                0.97052,                 1.1162,               0.004753,               0.004753,               0.004753
                    108,                   1.01,                0.77178,                 1.0636,                0.80909,                0.74539,                0.81346,                 0.6767,                    1.1,                0.97006,                 1.1165,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0103,                0.76855,                 1.0658,                 0.8079,                0.74386,                0.81392,                0.67739,                 1.0999,                0.97047,                 1.1163,               0.004654,               0.004654,               0.004654
                    110,                 1.0085,                0.76825,                 1.0604,                0.80999,                  0.742,                0.81272,                0.67813,                 1.1003,                  0.972,                  1.117,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0058,                 0.7684,                 1.0612,                0.80979,                0.74424,                0.81366,                0.67832,                 1.1012,                0.97269,                 1.1173,               0.004555,               0.004555,               0.004555
                    112,                0.99859,                0.75892,                 1.0559,                0.81114,                0.74344,                0.81452,                0.67874,                 1.1018,                0.97275,                  1.118,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0004,                 0.7598,                 1.0577,                0.81149,                0.74039,                0.81408,                0.67733,                 1.1015,                0.97341,                 1.1183,               0.004456,               0.004456,               0.004456
                    114,                0.99892,                0.75971,                 1.0555,                0.81158,                0.74263,                0.81405,                0.67793,                 1.1024,                0.97357,                 1.1189,              0.0044065,              0.0044065,              0.0044065
                    115,                0.99983,                0.76506,                 1.0584,                0.81083,                0.74054,                  0.814,                0.68007,                 1.1025,                0.97437,                 1.1193,               0.004357,               0.004357,               0.004357
                    116,                0.99909,                0.76189,                 1.0582,                0.81126,                0.74046,                0.81377,                0.67881,                 1.1024,                0.97418,                 1.1194,              0.0043075,              0.0043075,              0.0043075
                    117,                0.99229,                0.75225,                 1.0543,                0.81128,                0.73863,                0.81328,                0.67623,                 1.1024,                0.97398,                 1.1196,               0.004258,               0.004258,               0.004258
                    118,                0.99137,                0.75245,                 1.0531,                0.81149,                0.73867,                0.81329,                0.67829,                 1.1027,                0.97445,                 1.1198,              0.0042085,              0.0042085,              0.0042085
                    119,                0.99229,                0.74869,                 1.0519,                0.81133,                0.73853,                0.80533,                0.66992,                 1.1029,                0.97462,                 1.1199,               0.004159,               0.004159,               0.004159
                    120,                0.99152,                 0.7518,                 1.0524,                0.80972,                0.73931,                0.80522,                0.67037,                 1.1028,                0.97422,                 1.1199,              0.0041095,              0.0041095,              0.0041095
                    121,                0.99731,                0.75032,                 1.0536,                0.80844,                0.74008,                0.80542,                0.67008,                 1.1031,                0.97518,                 1.1202,                0.00406,                0.00406,                0.00406
